,Unnamed: 0_x,년도,순위,영화명,국적,개봉전상영횟수,천만감독유무,천만배우수,원작유무,시리즈유무,블로그리뷰수,유튜브예고편수,예고편조회수,특별상영관유무,개봉특수시기,티켓값,코로나확진자수,음식물제한,음료제한,시간제한,미접종자제한,주연배우팔로워수평균,인기장르,비인기장르,12세관람가,15세관람가,청소년관람불가,관객수,거리좌석합침
114,114,2020,35,원더 우먼 1984,0,1,0,0,1,1,592,9,45555856,1,0,6488,907,1,0,1,0,89338699,0,0,1,0,0,390986,6
115,115,2020,37,오! 문희,1,7,0,0,0,0,258,4,10168,0,0,7483,316,0,0,0,0,111960,1,0,1,0,0,351730,5
116,116,2020,38,그린랜드,0,4,0,0,0,1,108,10,175584,0,0,9424,98,0,0,0,0,1513158,0,0,1,0,0,325869,5
117,117,2020,40,런,0,28,0,0,0,0,740,9,21097720,0,0,8605,183,0,0,0,0,2120214,0,1,0,1,0,278819,4
118,118,2020,41,뮬란,0,2,0,0,1,0,1076,16,63457884,1,0,8061,147,0,0,0,0,823373,1,0,1,0,0,236247,5
119,119,2020,42,내가 죽던 날,1,4,0,1,0,0,294,10,1481230,0,0,7504,118,0,0,0,0,525847,0,0,1,0,0,233112,3
120,120,2020,44,신비아파트 극장판 하늘도깨비 대 요르문간드,1,13,0,0,1,1,245,3,1544772,0,0,8009,0,0,0,0,0,3389,0,1,0,0,0,222234,0
121,121,2020,45,프리즌 이스케이프,0,0,0,0,1,0,102,4,11935,0,0,8125,9,0,0,0,0,99068,1,0,1,0,0,217056,4
122,122,2020,46,검객,1,15,0,0,0,0,188,6,80186,0,0,8435,120,0,0,0,0,939623,0,0,0,1,0,190237,5
123,123,2020,47,조제,1,4,0,0,1,0,936,6,954608,0,0,8496,553,1,0,1,0,10007220,1,0,0,1,0,186647,6
124,124,2020,48,사라진 시간,1,5,0,1,0,0,220,6,12908,0,0,7542,43,0,0,0,0,0,0,1,0,1,0,185802,2
125,125,2020,49,밤쉘: 세상을 바꾼 폭탄선언,0,21,0,0,0,0,161,13,31033643,0,0,8478,50,0,0,0,0,7881342,0,0,0,1,0,182026,4
126,126,2019,1,극한직업,1,124,1,3,0,0,678,8,8035373,0,1,7230,0,0,0,0,0,602894,1,0,0,1,0,16265618,0
127,127,2019,2,어벤져스: 엔드게임,0,1,1,3,1,1,2522,11,229363781,1,0,6474,0,0,0,0,0,42464411,0,0,1,0,0,13934592,0
128,128,2019,3,겨울왕국 2,0,4,1,1,0,1,1862,14,200264993,1,0,8331,0,0,0,0,0,1251746,0,1,0,0,0,13369064,0
129,129,2019,4,알라딘,0,9,1,3,1,0,1050,12,54470076,1,0,8583,0,0,0,0,0,4200975,1,0,0,0,0,12552283,0
130,130,2019,5,기생충,1,42,1,3,0,0,2209,4,7056343,1,0,8288,0,0,0,0,0,399967,0,0,0,1,0,10085275,0
131,131,2019,6,엑시트,1,188,0,0,0,0,663,6,6863291,1,0,7911,0,0,0,0,0,14248503,0,0,1,0,0,9426011,0
132,132,2019,7,스파이더맨: 파 프롬 홈,0,726,0,0,1,1,1247,12,120342690,1,0,8676,0,0,0,0,0,77035923,0,0,1,0,0,8021145,0
133,133,2019,8,백두산,1,40,0,2,0,0,867,11,1942713,0,0,8066,0,0,0,0,0,494321,0,0,1,0,0,6290502,0
